wer,ld,m,insertions,deletions,substitutions,inserted_words,deleted_words,substituted_words
1.9090909090909092,21,11,2,1,3,"['need', 'ball']",['these'],"[('these', 'please'), ('clothes', 'falls'), ('maybe', 'to')]"
19.0,19,1,5,0,1,"['were', 'going', 'to', 'get', 'that']",[],"[('lighter', 'either')]"
5.333333333333333,16,3,4,0,1,"['more', 'soon', 'pick', 'it']",[],"[('bullshit', 'up')]"
5.0,15,3,1,0,3,['right'],[],"[('i', 'now'), ('know', 'were'), ('right', 'in')]"
0.6666666666666666,4,6,0,0,1,[],[],"[('nine', 'time')]"
0.0,0,4,0,0,0,[],[],[]
0.0,0,2,0,0,0,[],[],[]
2.0,4,2,0,0,1,[],[],"[('nines', 'nimes')]"
0.0,0,2,0,0,0,[],[],[]
0.0,0,2,0,0,0,[],[],[]
0.0,0,2,0,0,0,[],[],[]
0.5,4,8,0,0,1,[],[],"[('fives', 'fucks')]"
4.0,8,2,0,0,2,[],[],"[('one', 'more'), ('five', 'fun')]"
0.0,0,2,0,0,0,[],[],[]
0.0,0,2,0,0,0,[],[],[]
1.75,7,4,1,0,1,['im'],[],"[('imma', 'gonna')]"
4.0,16,4,0,0,4,[],[],"[('i', 'go'), ('want', 'on'), ('a', 'to'), ('ring', 'rain')]"
0.36666666666666664,11,30,1,0,2,['you'],[],"[('youll', 'will'), ('play', 'do')]"
3.5,7,2,0,1,1,[],['two'],"[('kings', 'brookings')]"
5.3,53,10,6,1,8,"['im', 'not', 'out', 'for', 'this', 'guy']",['dont'],"[('no', 'but'), ('trust', 'need'), ('you', 'to'), ('cut', 'fuck'), ('it', 'the'), ('fucking', 'rich'), ('with', 'and'), ('you', 'look')]"
7.0,7,1,1,0,1,['doctor'],[],"[('what', 'when')]"
0.0,0,4,0,0,0,[],[],[]
3.5,7,2,0,1,1,[],['how'],"[('many', 'bye')]"
1.0,10,10,1,1,1,['on'],['it'],"[('unopened', 'open')]"
2.2,11,5,1,0,2,['for'],[],"[('fold', 'full'), ('it', 'day')]"
2.0,4,2,0,0,1,[],[],"[('four', 'one')]"
0.9787234042553191,46,47,7,3,4,"['dont', 'take', 'nike', 'at', 'me', 'jeez', 'make']","['like', 'you', 'know']","[('maybe', 'the'), ('but', 'so'), ('main', 'the'), ('flyer', 'fly')]"
4.0,4,1,0,0,1,[],[],"[('pass', 'caused')]"
0.4444444444444444,4,9,0,0,1,[],[],"[('game', 'guy')]"
3.142857142857143,22,7,0,2,4,[],"['nah', 'these']","[('you', 'youre'), ('gon', 'gonna'), ('two', 'this'), ('sixes', 'twosixes')]"
0.9166666666666666,11,12,1,0,2,['going'],[],"[('gonna', 'to'), ('be', 'go')]"
0.6666666666666666,4,6,0,0,1,[],[],"[('the', 'this')]"
0.0,0,8,0,0,0,[],[],[]
0.2727272727272727,3,11,0,1,0,[],['you'],[]
0.9411764705882353,16,17,0,0,4,[],[],"[('there', 'they'), ('counter', 'count'), ('them', 'as'), ('card', 'anything')]"
5.5,22,4,2,0,4,"['but', 'by']",[],"[('youll', 'april'), ('know', 'its'), ('whats', 'too'), ('going', 'windy')]"
4.0,8,2,0,0,2,[],[],"[('two', 'well'), ('jacks', 'check')]"
1.4285714285714286,10,7,0,2,1,[],"['the', 'same']","[('number', 'this')]"
4.0,4,1,0,0,1,[],[],"[('ace', 'peace')]"
7.0,7,1,1,0,1,['squ'],[],"[('pass', 'ordinarily')]"
0.0,0,1,0,0,0,[],[],[]
0.0,0,2,0,0,0,[],[],[]
1.0909090909090908,12,11,0,0,3,[],[],"[('i', 'lets'), ('age', 'eggs'), ('two', 'tooth')]"
2.75,11,4,0,1,2,[],['pick'],"[('that', 'pass'), ('shit', 'it')]"
0.8,8,10,0,0,2,[],[],"[('cuz', 'because'), ('a', 'the')]"
8.5,17,2,3,0,2,"['do', 'you', 'part']",[],"[('theres', 'are'), ('a', 'you')]"
1.0,7,7,1,0,1,['computer'],[],"[('competition', 'vision')]"
